 90            50 
       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99
       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5
          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5
          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5
          25.5       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99
       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99
          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5          25.5      25.60602      25.64079      25.65851      25.66901       25.6707      25.66946      25.66803      25.66872
      25.67329      25.68103      25.68459      25.68271      25.67552      25.67284      25.67723      25.68483      25.68689      25.68757      25.68779      25.68787      25.68794      25.68795      25.68776        25.687      25.68496      25.68048      25.67323      25.66993
      25.67113      25.67507      25.67945      25.67997      25.68373      25.69579      25.71482      25.73244      25.74631       25.7586      25.77009      25.78124       25.7924      25.80389      25.81609       25.8295      25.84482      25.86317      25.88617      25.91554
      25.94842       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99
       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99          25.5          25.5
      25.62998      25.68365      25.71043      25.72573      25.73518      25.74123      25.74508      25.74748      25.74907      25.75067      25.75402      25.76364      25.79315      25.81375      25.82987      25.84048      25.83945      25.83422      25.82908      25.82869
      25.83851      25.86209      25.86988      25.86869      25.86084      25.85751      25.86167      25.86908      25.87086      25.87133      25.87141      25.87149      25.87164      25.87182      25.87181      25.87103      25.86811      25.85958      25.83763      25.83051
      25.83465      25.84477      25.85627      25.86227      25.87373      25.89684      25.92978      25.96212      25.98825      26.01186      26.03415      26.05588      26.07765      26.10003      26.12368      26.14947      26.17865      26.21327      26.25695      26.31776
      26.41827      26.63748       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99
       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99          25.5          25.5      25.66094      25.74424
      25.83032      25.88894      25.92683      25.95157      25.96793      25.97871      25.98561      25.98977      25.99209      25.99358      25.99559      25.99996      26.00598      26.01155      26.01774      26.01739      26.00824      25.99477      25.98132      25.97444
      25.98732      26.07669      26.07651      26.07538       26.0737      26.07187      26.07016      26.06869       26.0675      26.06664      26.06616      26.06607      26.06636      26.06696      26.06774      26.06852      26.06902      26.06891      25.98454      25.97581
      25.98812      26.00896      26.03209      26.05155      26.07461      26.10813      26.15076      26.19171      26.22771      26.26129      26.29347      26.32504      26.35668      26.38912      26.42316      26.45987      26.50067      26.54759      26.60357       26.6727
      26.75884      26.85303       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99
       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99          25.5          25.5      25.68488      25.78371      25.89293      25.97936
      26.05338      26.11029      26.15166      26.18098      26.20138      26.21516      26.22394       26.2289      26.23098      26.23102      26.22984      26.22812       26.2257      26.22082      26.21228      26.19803      26.17722      26.15129      26.12304      26.09712
      26.08079      26.08486      26.08393      26.08229      26.08029      26.07821      26.07628      26.07462      26.07329      26.07236      26.07185      26.07178      26.07214      26.07286      26.07385      26.07496      26.07597      26.07661       26.0761      26.09675
      26.12912      26.16678      26.20579       26.2443      26.28279      26.32697      26.37429      26.42049      26.46467      26.50706      26.54823      26.58881      26.62948      26.67099      26.71422      26.76025      26.81043      26.86651      26.93047       27.0039
        27.085      27.15786       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99
       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99       -999.99          25.5          25.5          25.5          25.5          25.5          25.5          25.5      25.71507      25.82516      25.94856      26.04982      26.14253      26.22177
